"Variable","trainAUC","testAUC"
" + ZCCHC7","0.780671914292604","0.65472972972973"
"ZCCHC7 + PZP","0.864912864912865","0.802382645803699"
"ZCCHC7 + PZP + SCNN1G","0.912101787101787","0.824158368895211"
"ZCCHC7 + PZP + SCNN1G + IGFL1","0.949190656087208","0.896218587008061"
"ZCCHC7 + PZP + SCNN1G + IGFL1 + UBE2F","0.976984222673878","0.901541014698909"
"ZCCHC7 + PZP + SCNN1G + IGFL1 + UBE2F + MAEL","0.985503481193136","0.895590327169274"
"ZCCHC7 + PZP + SCNN1G + IGFL1 + UBE2F + MAEL + CREB5","0.997810618500274","0.920187292555713"
