"","coef","exp(coef)","se(coef)","Pr(>|z|)"
"A1BG","0.0645018916175026","1.06662759589417","0.259291326890633","0.803544700182753"
"AAAS","0.242761541965067","1.27476461000869","0.588500241451417","0.679966515095898"
"AAGAB","0.217460160976878","1.24291591196562","0.540388612757317","0.68737907189422"
"AAK1","0.136156265132612","1.14586093771671","0.528093044502401","0.796540981526208"
"AAMP","-0.352889350896199","0.702654937215103","0.54651696718765","0.51846969579607"
"AASDH","0.495913450932858","1.6419974383221","0.451603196552214","0.272153109507769"
"ABAT","-0.413838582952001","0.661107656699997","0.219015280568372","0.0588192333803422"
"ABCE1","0.675635474446784","1.96528146538826","0.497834446605405","0.174733901705108"
"ABCG1","-0.0954579711278863","0.908956563270035","0.274263522212787","0.72780112148586"
"ABCG2","0.0123172551817096","1.01239342498234","0.218808140093333","0.955108800938955"
"ABCG4","0.307623422509475","1.36018867604219","0.269686981131657","0.254007933267297"
"ABCG5","0.107013177107823","1.11294891983062","0.272874130254501","0.694932258355261"
"ABI1","0.0129069070847449","1.01299056072581","0.417785033561516","0.975354349334471"
"ABI2","-0.980261599909518","0.375212930342895","0.43653559785142","0.0247329801141127"
"ABI3","0.256139524374359","1.29193297150479","0.250008537612921","0.305588261226362"
"ABLIM1","-0.359669829365093","0.697906716338527","0.319928479914803","0.260919927363555"
"ABLIM2","0.253641139104748","1.28870925392057","0.201953812600172","0.209139039400763"
"ABLIM3","0.0322487159122919","1.03277434077662","0.186275769069594","0.862554341681898"
"ACACA","0.361763343063626","1.43585909573379","0.451707848799849","0.423201682064707"
"ACACB","-0.101177086526176","0.903772972697845","0.226006377789127","0.654388784427796"
"ACADVL","0.046450657288054","1.04754638901356","0.444426625193191","0.91675815016788"
"ACAT1","0.489298026540908","1.6311707793736","0.432485903238743","0.257902846100231"
"ACAT2","-0.491849871569892","0.61149416160016","0.222856772896994","0.0273125001516006"
"ACBD3","-1.02425407099765","0.359064201939245","0.48366456275958","0.0342008987494785"
"ACBD4","0.0964759359356121","1.10128307947799","0.278442836229032","0.728979146182725"
"ACBD5","0.0618049933213724","1.06375488519366","0.37097722327113","0.867684395087725"
"ACBD6","0.196848817185796","1.21755995265068","0.451475554795552","0.662827930569616"
"ACBD7","0.262900342325499","1.30069708804545","0.17751153449802","0.138597927331793"
"ACD","-0.140162521088811","0.869216957832425","0.389026719495815","0.718630114662515"
"ACE","-0.325509095481273","0.722159611847023","0.353366503055162","0.356963932855257"
"ACHE","0.0513080919068047","1.05264715539867","0.162573999988957","0.752307363349875"
"ACOT1","0.537682987291096","1.71203545515361","0.427827409597126","0.208834956404651"
"ACOT11","-0.293554280842554","0.745608749494507","0.188944226708378","0.120266557747785"
"ACOT12","0.10233804542173","1.10775788092074","0.855364864920986","0.904766300838623"
"ACOT13","-0.495136462946307","0.609487729129814","0.563203064713463","0.379323330549434"
