"","coef","exp(coef)","se(coef)","Pr(>|z|)"
"A1BG","0.0663403067647736","1.06859030380614","0.258999821604149","0.797842460763544"
"AAAS","0.233414643456562","1.26290502608247","0.608195874692993","0.701140012876976"
"AAGAB","0.694994456529166","2.00369796646915","0.576759837149813","0.22820406977961"
"AAK1","0.444138384185624","1.5591462318752","0.485395832652741","0.360190335190532"
"AAMP","-0.646773048901017","0.523733113967164","0.567794235189702","0.254662449665739"
"AASDH","0.358279954026902","1.43086614115177","0.380659838644605","0.346598454691396"
"ABAT","-0.131518041218775","0.876763457113765","0.227509557559159","0.563212138330358"
"ABCE1","0.0427352556716146","1.04366155479511","0.579945047719011","0.941258283851352"
"ABCG1","0.140834155188098","1.15123370601439","0.286470201182872","0.622988804573422"
"ABCG2","0.00964700035483603","1.00969368265673","0.214248050104404","0.964085589210134"
"ABCG4","0.178559137332371","1.19549357948422","0.348869784588286","0.608775779467586"
"ABCG5","-0.101992978738515","0.903035892097746","0.33185363593154","0.758582110314259"
"ABI1","0.165250181177773","1.17968821758344","0.441694774419648","0.708309427097861"
"ABI2","-0.288924763290963","0.749068560736001","0.412590238209502","0.483758404856923"
"ABI3","0.0717741029146362","1.07441260997131","0.286426270053917","0.802135044743279"
"ABLIM1","-0.0739671005631131","0.928702247119657","0.360900031823276","0.837609806480863"
"ABLIM2","0.233642893627971","1.26319331727115","0.22491658963736","0.298898712101278"
"ABLIM3","0.0994074543111089","1.10451624779284","0.199181035861069","0.617722379587821"
"ACACA","-0.0490908369222344","0.952094640423543","0.403201278453737","0.903094889576321"
"ACACB","-0.00527621026087905","0.994737684488532","0.242954064825236","0.982673778989738"
"ACADVL","0.037696124163239","1.03841563550957","0.490512281852259","0.938742460007801"
"ACAT1","0.310227766342956","1.36373569185255","0.46611961800318","0.505696230540409"
"ACAT2","0.0115152106111083","1.01158176586942","0.368995987514239","0.975104559391336"
"ACBD3","-0.765772273692557","0.46497470454958","0.541662341167368","0.1574368704156"
"ACBD4","0.413723700703256","1.51243918326558","0.339646795375897","0.223186041848574"
"ACBD5","0.179153842033657","1.19620475658552","0.367918231159093","0.62630135491864"
"ACBD6","0.163591009814705","1.17773253552995","0.401746784082999","0.683861614662996"
"ACBD7","0.278696917913897","1.32140678844599","0.183459783227615","0.128732990194075"
"ACD","0.171611447516304","1.18721644768403","0.468684549724648","0.714249010854756"
"ACE","-0.029076895686668","0.971341769602422","0.298249169132827","0.92233571981996"
"ACHE","0.0348920063681427","1.03550787450485","0.202818435706914","0.863409482970841"
"ACOT1","0.190363758953951","1.20968955303996","0.387674805262319","0.623398297966605"
"ACOT11","-0.0361748759415185","0.964471615852833","0.209340104164691","0.862805235282352"
"ACOT12","0.608236901356847","1.83718939550524","0.642744549630274","0.343989457818314"
"ACOT13","-1.06663144406232","0.344165909071569","0.644786207982781","0.0980786617000572"
"ACOT2","0.017311288422244","1.01746199717387","0.397640080460953","0.965275009831446"
"ACOT4","-0.194383450301393","0.823342132942115","0.356844036092668","0.585939616986716"
"ACOT6","-0.349988852591149","0.704695945208746","0.433751113274081","0.419730635358046"
"ACOT7","-0.247171085374962","0.781007063214348","0.375757700617001","0.510670639566125"
"ACOT8","0.0905843892065195","1.0948138942192","0.455813406071632","0.842472941124528"
"ACOT9","-0.0341597526562663","0.966417104605406","0.407549665041747","0.933201614746903"
"ACOX1","-0.349598057174569","0.704971390972182","0.52068525646898","0.501953542889576"
"ACOX2","-0.266643647961741","0.765945969245983","0.201809828025587","0.186414034683196"
"ACOX3","-0.0547631122662637","0.94670938523368","0.419714296222679","0.896188955597475"
"ACOXL","0.140669236666935","1.15104386190891","0.196023203834346","0.47299456384631"
