"","Estimate","Std. Error","Pr(>|z|)"
"A1BG","0.0738913483044259","0.245588755814769","0.763510338144899"
"AAAS","0.0829840006480945","0.64954418494142","0.898341055709706"
"AAGAB","0.787540906913647","0.676957842090511","0.244686328052636"
"AAK1","0.53293828210294","0.543179610233191","0.326520948447398"
"AAMP","-0.637299079521546","0.563477878515873","0.258050909290111"
"AASDH","0.136375543649534","0.399879756324566","0.733072430880963"
"ABAT","-0.107407836926688","0.241570210733751","0.656591729173996"
"ABCE1","0.0524961888065482","0.547654916384764","0.923634680713564"
"ABCG1","0.0422361996131925","0.285323221636328","0.882319637056818"
"ABCG2","-0.059197464604064","0.228360976560707","0.795459648128902"
"ABCG4","0.290206537372402","0.367839923355501","0.430142454321329"
"ABCG5","-0.0571164518644877","0.346570975240921","0.869097872039203"
"ABI1","0.611038358092907","0.520048670629432","0.240009201993348"
"ABI2","-0.113547853873444","0.387092537651059","0.769265976486496"
"ABI3","0.112042160840931","0.308871506547792","0.716794011370091"
"ABLIM1","-0.114930999837285","0.357947664298705","0.748147302425802"
"ABLIM2","0.332264243344451","0.233277281353713","0.154350454598408"
"ABLIM3","0.0722199634289935","0.20837219121846","0.728898473743009"
"ACACA","-0.228300384727413","0.395176369768322","0.563454724949632"
"ACACB","-0.0121589696978076","0.253102741636541","0.96168463482972"
"ACADVL","-0.0101549518910534","0.466471037467672","0.982631634690031"
"ACAT1","0.130581733432756","0.415186321256913","0.753131009217792"
"ACAT2","-0.145951555767924","0.34438171966399","0.671706207734004"
"ACBD3","-0.44806343042772","0.53159494212274","0.399303256119151"
"ACBD4","0.46779633720136","0.341796696906602","0.171112103085223"
"ACBD5","0.276733671216097","0.391479828238029","0.479634052331555"
"ACBD6","0.10938460939135","0.44378051129394","0.80530791327613"
"ACBD7","0.315526161426327","0.199993280012851","0.114638265850301"
"ACD","0.0149124371233378","0.469840432680515","0.97467990172352"
"ACE","-0.15207273543345","0.315802300670208","0.630129842944878"
"ACHE","-0.0273877840407666","0.209892537237409","0.896182885584026"
"ACOT1","-0.0179685963885534","0.426977711204746","0.966432357879202"
"ACOT11","-0.0594144082625175","0.216373090925437","0.783629399040224"
"ACOT12","0.685057209656223","0.751848747210195","0.362209180944053"
"ACOT13","-1.25963486102798","0.694917906205024","0.0698876156693489"
"ACOT2","-0.168506128376888","0.466027429539837","0.717666024129009"
"ACOT4","-0.309977042157044","0.327615904892531","0.344067019527661"
"ACOT6","-0.35065909338096","0.436690218916384","0.421978907021651"
"ACOT7","-0.155014264958888","0.392298329372487","0.692736742535076"
"ACOT8","0.181987798765599","0.48003770923218","0.704605093526336"
"ACOT9","-0.145810701317883","0.350620845305016","0.677509285578847"
"ACOX1","-0.701108729005362","0.541272856139898","0.195218034360064"
"ACOX2","-0.316266577262802","0.225650183490328","0.161040976761677"
"ACOX3","-0.1369582026883","0.384762992695195","0.721874476574095"
"ACOXL","0.234589789074283","0.213492017033243","0.27184558353961"
"ACR","0.162967591062569","0.205619733856523","0.428029644290064"
"ACSS1","-0.0182013371692702","0.252568988006217","0.942550327669262"
"ACSS2","-0.616919559198352","0.387354658498973","0.111239215503748"
"ACSS3","-0.14869709425792","0.211346856140516","0.481701228273356"
"ACTL8","0.116600492408288","0.0850825863146537","0.170549912570124"
"ACTL9","-46.4280352036007","5699.4650683218","0.993500477265574"
"ACTN1","-0.140757628199377","0.302803994722421","0.642040791533472"
"ACTN2","-0.119640221504263","0.13695462009459","0.382349390729566"
"ACTN3","-0.312506241075769","0.42377528904654","0.460858559458639"
"ACTN4","0.559563802788492","0.454037329131618","0.217792959284615"
"ACTR2","-0.16222322238219","0.628184710052447","0.7962207027193"
"ACTR3","-0.863451805152373","0.597544717063791","0.148458031830881"
"ACTR5","-0.296479058454642","0.568735883196097","0.602161422912213"
"ACTR6","0.524391237924581","0.469175324622437","0.263700626881264"
"ACTR8","0.243836490138991","0.732858126595118","0.739345718805632"
"ACTRT1","-35.6124789089894","4410.96677099631","0.993558251540345"
"ACTRT2","-34.3613155718021","4743.30762097259","0.994220041038074"
"ADAM10","0.0166820047938793","0.424432063342234","0.968647779026622"
"ADAM11","0.0845003030414572","0.178267450722882","0.63549378135686"
"ADAM12","0.170796376633976","0.223778970316279","0.445322101912949"
"ADAM15","0.28251252425498","0.395360238298049","0.474874852160918"
"ADAM17","0.20280600596005","0.413998242799681","0.624224719065318"
"ADAM18","0.442935974998773","1.58503883299902","0.779901018032296"
"ADAM19","0.0100860864797509","0.275816602008739","0.970829386550428"
"ADAM33","0.0912160657575029","0.184095986999174","0.620260622806888"
"ADAT1","0.255399242073943","0.336632047675816","0.448038244554884"
"ADAT2","-0.0353377464390248","0.366663040257154","0.923221456007754"
"ADAT3","0.316473802494461","0.264375255470264","0.231282050142137"
"ADCY1","-0.0800993301335501","0.190088555849519","0.673478333732097"
"ADCY10","0.219261941943078","0.31678737956542","0.488847976784057"
"ADCY2","-0.148365991814208","0.110673435652948","0.180058623001568"
"ADCY3","0.863251821302594","0.458731680657666","0.0598600537150812"
"ADCY4","-0.16108521931714","0.295582056221927","0.585769808576347"
"ADCY5","-0.0390761110094675","0.143824951861937","0.785858734436515"
"ADCY6","0.72561013351896","0.432561127967068","0.0934497898004482"
"ADCY7","0.361567470287693","0.373840954562621","0.333459438712936"
"ADCY8","-0.00307952001184714","0.180364391207131","0.986377676438166"
"ADCY9","0.817147500037618","0.435581373672907","0.0606562751215677"
"ADD1","-0.20137579568394","0.623430785490545","0.746685946633861"
"ADD2","0.0838691627659561","0.136183455588938","0.537990704865861"
"ADH4","0.264308330074197","0.212458850327362","0.213483071469805"
"ADH5","-0.663793921023945","0.603809826438729","0.271618616689915"
"ADH6","-0.725143071946858","0.500903755316409","0.147709513322713"
"ADH7","-0.0715348698851162","0.28153085256451","0.799424120100785"
"ADNP","0.176471554601837","0.622406419199898","0.776769772164062"
