"","Estimate","Std. Error","Pr(>|z|)"
"A1BG","0.285211137064715","0.255835636026681","0.264926804700425"
"AAAS","0.473893730927411","0.5572968866445","0.395134192565826"
"AAGAB","-0.272888569201044","0.577243519054571","0.636395634498179"
"AAK1","0.126730424145878","0.579559776583601","0.826909690299323"
"AAMP","-0.325170441510455","0.544198303282268","0.550158944172529"
"AASDH","-0.635487450550848","0.510480467851122","0.213175484968363"
"ABAT","-0.48483268204213","0.258260969278049","0.0604773253447227"
"ABCE1","0.44994531510502","0.559121379793265","0.420971821325195"
"ABCG1","-0.210932280208827","0.285129109233901","0.459434629274409"
"ABCG2","-0.111529997270544","0.215856821050861","0.605376018050016"
"ABCG4","0.519204895255345","0.282289812097522","0.0658766745282122"
"ABCG5","0.194179157907346","0.260917644106007","0.456745641823797"
"ABI1","0.888871629495686","0.525628879568034","0.0908247420006995"
"ABI2","-0.582934352932651","0.41499035390458","0.16011236759949"
"ABI3","-0.275108432177352","0.283286559990894","0.331482922073104"
"ABLIM1","-0.35911374885637","0.28697679078378","0.210800022803815"
"ABLIM2","0.35834041113622","0.21030682691029","0.0884010071204007"
"ABLIM3","-0.221837227577341","0.206516476747937","0.282739066551499"
"ACACA","-0.116917821680819","0.400339841556794","0.770251124255056"
"ACACB","-0.211192092659926","0.242761504537209","0.38432385311181"
"ACADVL","0.254964697542851","0.440264354459489","0.562510037859062"
"ACAT1","0.148722621044629","0.399631317087649","0.709781494298871"
"ACAT2","-0.336918233527541","0.239239790267323","0.159046169072702"
"ACBD3","-0.66880948501255","0.503127952555033","0.183748032591461"
"ACBD4","0.476058829015793","0.345297862791844","0.167990248116548"
"ACBD5","0.343820673712111","0.358785725815339","0.337916684721343"
"ACBD6","0.285213315426978","0.466750504010763","0.541158792332069"
"ACBD7","0.244545161664007","0.184677545080381","0.185445339030534"
"ACD","0.186505522573096","0.486797016487908","0.70162492786557"
"ACE","-0.225545312421896","0.296001849284103","0.446076329969331"
"ACHE","-0.0913411989845679","0.189495393845326","0.629789379825752"
"ACOT1","0.46435678747769","0.393056241368578","0.23744371264095"
"ACOT11","-0.350370373334397","0.225427096530367","0.12012446870234"
"ACOT12","0.987248850576973","0.791526598705857","0.212297832968519"
"ACOT13","0.0281740466573081","0.496083668117177","0.954710143291355"
"ACOT2","0.0825479165100252","0.447503418864983","0.853650087130362"
"ACOT4","-0.0935691666795932","0.307096215768113","0.760602215211954"
"ACOT6","0.140787620171328","0.355826447050006","0.692353113886537"
"ACOT7","0.0750313427160636","0.367002170289434","0.838006653480784"
"ACOT8","0.763450962533829","0.523514480541753","0.144752715089701"
"ACOT9","-0.0272244218987427","0.310279430970563","0.930082034137412"
"ACOX1","-0.150937835131924","0.529231493215846","0.775489453612548"
"ACOX2","-0.13663390378822","0.208382039613435","0.512023961867142"
"ACOX3","-0.021796039545961","0.361638452735257","0.951940396821696"
"ACOXL","0.0757870249961894","0.214478234666413","0.723822078356016"
"ACR","0.198376656432135","0.187691621918804","0.290544142428136"
"ACSS1","-0.170747610273997","0.249894944336717","0.494431464858935"
"ACSS2","-0.612267386835631","0.368159433803202","0.096302514027833"
"ACSS3","-0.0170970402095309","0.169995813643077","0.919889191581099"
"ACTL8","0.22483139970342","0.0867302561360104","0.00953348168988184"
"ACTL9","-45.999416412571","5115.27740009944","0.992825075428728"
"ACTN1","-0.131948477174071","0.28960911928991","0.648671279520267"
"ACTN2","-0.032569131922221","0.120198824434759","0.786421423085592"
"ACTN3","0.0079215502343375","0.383745136572159","0.983530647889621"
"ACTN4","0.937510128040816","0.465104290019695","0.0438314882085475"
"ACTR2","-0.673284144816704","0.619616838464358","0.277207568300373"
"ACTR3","-1.04277601853147","0.575838441140463","0.0701589714308155"
"ACTR5","0.271168835523405","0.55000240511472","0.62198991301147"
"ACTR6","0.377930580888264","0.47283934251347","0.42412862336959"
"ACTR8","0.179981792775016","0.687826712828902","0.793577915080407"
"ACTRT1","-42.519370576018","5179.28635143804","0.993449837304713"
"ACTRT2","-33.0786102529513","3501.07664410441","0.992461598978791"
"ADAM10","-0.31136799694074","0.324411174234075","0.337158750000966"
"ADAM11","0.182826058220915","0.165887671610809","0.27041490988696"
"ADAM12","0.0807398235586481","0.214317924163062","0.706374848569398"
"ADAM15","0.646025474541305","0.354382739907573","0.0683094857091771"
"ADAM17","-0.252205251387388","0.411675277602997","0.540120011310666"
"ADAM18","2.0532429982729","2.29583171809944","0.37114259990463"
"ADAM19","-0.173501243022076","0.251534876848518","0.490338759826046"
"ADAM33","0.027415232234497","0.18375780893429","0.881401972668205"
"ADAT1","-0.0794229092377097","0.304499077329477","0.794222557548329"
"ADAT2","0.518034260188663","0.358843552875045","0.148845479922044"
"ADAT3","0.280717188364122","0.254219636469035","0.269492971086028"
"ADCY1","-0.000200169692456552","0.168301752089637","0.999051036204228"
"ADCY10","0.245734038477466","0.303723768524828","0.418474411502359"
"ADCY2","0.0388840920472263","0.104172693280238","0.708950710894759"
"ADCY3","0.742916983157575","0.390939893327357","0.0573890968961167"
"ADCY4","0.0797121425042957","0.287737734701627","0.781756649365524"
"ADCY5","-0.0674925610394339","0.150428137210115","0.653669879089725"
"ADCY6","0.675133411065805","0.406422811678481","0.096681270693585"
"ADCY7","-0.0567001070345576","0.344270929119627","0.869183123558582"
"ADCY8","0.0998143872645893","0.163741484785281","0.542136611898361"
"ADCY9","0.692053364342259","0.395546865901856","0.0801853657146141"
"ADD1","-0.618905428792145","0.597566646245868","0.300337707444534"
"ADD2","-0.158018419685549","0.130912700107713","0.227412168104919"
"ADH4","0.107626929990026","0.185527619189723","0.561838613025904"
"ADH5","-1.05231215384244","0.635921559737648","0.0979685339711814"
"ADH6","-0.438765034512885","0.460471538384991","0.340660872249506"
"ADH7","0.0182224051293444","0.342534515068304","0.957573558317569"
"ADNP","-0.508220921052432","0.607529717809776","0.402853024778909"
"ADRA2B","0.167009300712359","0.184187846791175","0.364547715614767"
"ADRA2C","0.179220557142891","0.155111518861594","0.247914237754403"
"ADSL","-0.730048087272689","0.644340958569447","0.257207878554404"
"AFMID","-0.354131514201344","0.421868322497374","0.401224613400641"
"AFTPH","0.0760688262390479","0.57334153511724","0.894449397032993"
"AGFG1","-0.539541014791297","0.415563473331936","0.194171903293305"
"AGFG2","-0.144051562073562","0.373800935222186","0.699963512726587"
"AGXT","0.422718300070439","0.331972903866979","0.202893227299086"
"AHCY","-0.155845751927092","0.427308480884365","0.715324266418217"
"AHNAK","-0.0930540288820035","0.281476351212978","0.740952155788125"
"AHRR","0.413882836934369","0.240367470179514","0.0850920898114373"
"AIRE","-0.35362963064863","0.750818208213784","0.637646199469267"
"AKAP1","0.429917678385022","0.372286562842689","0.24817106567782"
"AKAP3","0.228056295204382","0.211723795685637","0.281417459732935"
"AKAP4","0.453043637404847","1.62956486103042","0.781000767585214"
"AKAP5","-0.684212198309208","0.293986914588036","0.0199463275811276"
"AKAP6","0.28246545092455","0.260353632703092","0.277952686562282"
"AKAP7","-0.245421715729621","0.30128621449905","0.415312779314174"
"AKAP8","0.218961313914281","0.603652323594993","0.716808435353486"
"AKAP9","-0.279149949813443","0.420784286952285","0.507071889333187"
"AKIRIN1","-0.592786750932536","0.549665570289847","0.280833051424045"
"AKIRIN2","-0.620479406589111","0.691667699471794","0.369677659648906"
"AKR1B10","-0.0284544953114664","0.108768116509165","0.793624484591164"
"AKR1B15","-0.00863953709865028","0.105496986181401","0.934731255128384"
"ALAS1","0.253529631936312","0.529650492587811","0.632170951972282"
"ALAS2","0.106361660832078","0.660058620730494","0.87198335755945"
"ALDH18A1","-0.111485409230325","0.514532261444961","0.828462947842711"
"ALOX12B","0.243445682983074","0.171412905337225","0.155540847200669"
"ALPI","-1.47278832668388","1.76038684058312","0.402801891757603"
"ALPK1","0.428886121578447","0.368413436448716","0.244365846925877"
"ALPK2","-0.364871913792641","0.211499449348324","0.0844973440707495"
"ALPK3","0.13095757320775","0.295452362268316","0.657589044970295"
"ALPL","0.017909765302986","0.17545259170002","0.918695144847951"
"ALPP","-0.112330344771368","0.177191937253644","0.526115235457062"
"AMMECR1L","-0.81428806061752","0.693183957536118","0.240111950137689"
"AMN1","-0.38037914326767","0.349992440284419","0.277115913292022"
"ANGPT1","-0.10762392768374","0.165686882125841","0.515975087565782"
"ANGPT2","-0.284674011499622","0.306534810198057","0.353052811053932"
"ANGPT4","1.03620034812088","0.487781783256721","0.033644122474112"
"ANKFN1","-0.877880472611962","0.666296468937413","0.187653548580824"
"ANKFY1","-0.498907297921888","0.568922294108619","0.380522492416621"
"ANKK1","0.0449959388670253","0.224795051511454","0.841352104911548"
"ANKLE1","0.364860261948886","0.203537795301478","0.0730381563549625"
"ANKS1A","-0.183439648397236","0.426448382890327","0.667081624282194"
"ANKS1B","0.256973036440825","0.206839612921124","0.21409703639416"
"AP1B1","0.0178755158876615","0.543078710416038","0.973742253338563"
"AP2A1","0.0664112273680602","0.567871106479944","0.9069014877678"
"AP2A2","0.574822620434485","0.593868943837929","0.333080126363362"
"APBA3","0.269628031027537","0.40303192314632","0.503495993240858"
"APC","-0.015051247485023","0.452452314177989","0.973462521801566"
"API5","-0.164834364961099","0.550090536973796","0.764444507828926"
"APIP","0.118176408595195","0.351500288868806","0.736715737866733"
"APLNR","-0.253935715981873","0.224870507381553","0.258791082335692"
"APOB","-0.0302694454358362","0.210009314454185","0.88539479638353"
"APOD","-0.199387659399696","0.128301873481406","0.120172243371424"
"APOH","0.272696100248957","0.845327095917959","0.74700394697002"
"APOM","0.199777202726203","0.269609850672864","0.458701753744559"
